"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"27200","2005",대구광역시 남구,15.57,6,49.42,6,-22.82,10,57.3,5,25.4,5,0.2,4,1525208,3,124,1,34.67,1,39.72,6,9.77,7,33.67,2,22.08,1,-1.04,10,65.87,5,0.5,5,8.38,5,0.11,1,39,6
"27710","2005",대구광역시 달성군,9.41,5,32.08,5,-7.86,10,60.1,5,31.2,6,0.39,6,2999205,5,472,5,61.45,4,166.55,7,0.89,1,43.32,3,312.05,7,0.99,9,70.68,5,0.33,4,8.09,5,0.07,1,6,1
"28140","2000",인천광역시 동구,4.32,4,21.94,4,-38.75,10,62.58,5,22.1,5,0.45,6,,0,,,59.92,5,2.77,1,8.25,7,61.38,5,,0,-5.4,10,83.67,6,0.14,4,67,7,0.14,4,,
"28170","2000",인천광역시 미추홀구,7.56,5,40.42,6,-14.12,10,59.15,5,33.2,6,0.24,5,,0,,,37.19,4,6.53,1,15.41,7,17.34,1,,0,-0.17,10,69.56,6,0.07,1,9,4,0,1,,
"28200","2005",인천광역시 남동구,10.65,5,35.22,5,-19.15,10,54.1,5,42.5,6,0.52,6,9221573,7,1057,6,95.55,5,13.13,4,7.67,6,19.88,1,59.17,4,-1.79,10,74.12,6,0.03,1,11.91,6,0.03,1,64,7
"28200","2010",인천광역시 남동구,13.47,6,36.99,5,11.42,9,48.7,5,37,6,0.47,6,11264898,7,1448,7,132.36,6,20.71,5,8.24,5,16.89,1,7.64,1,0.58,8,53.47,5,0.8,3,12.54,5,0.02,1,116,7
"28720","2010",인천광역시 옹진군,9.38,5,35.7,5,-3.95,10,69.27,6,22.7,5,0.22,4,303683,1,5,1,9.04,1,0,1,1.74,1,364.26,7,63.45,4,2.88,8,63.45,5,6.19,7,11,4,1.37,7,0,1
"29155","2010",광주광역시 남구,22.11,6,44.32,6,-5.52,10,53.07,5,15.7,4,0.24,4,1826780,3,185,1,43.01,4,7.95,1,5.23,4,35.72,3,-78.74,1,0.37,8,80.69,6,1.39,5,10.96,4,0.09,1,59,6
"29170","2005",광주광역시 북구,18.15,6,41.56,6,-15.91,10,58.67,5,26.7,5,0.29,5,5324996,6,730,6,48.51,3,17.88,5,4.64,6,25.39,1,-44.23,1,-1.4,10,57.23,5,0.07,1,8.33,5,0.02,1,62,7
"11140","2005",서울특별시 중구,17.62,6,41.39,6,-16.04,10,61.27,5,92.5,7,3.05,7,,0,5165,7,3081.78,7,14.14,4,11.43,7,102.22,6,654.17,7,-1.64,10,56.44,5,0.16,1,30.99,7,0.7,6,57,7
"11290","2005",서울특별시 성북구,18.74,6,46.73,6,-14.15,10,59.37,5,47.4,6,0.17,4,,0,944,6,60.78,4,8.46,1,24.87,7,31.08,2,66.7,4,2.28,8,76.69,6,0.18,2,8.84,5,0,1,19,5
"11350","2005",서울특별시 노원구,21.95,6,49.43,6,-12.39,10,61.5,5,30.7,6,0.15,3,,0,600,6,30.01,1,22.16,5,8.21,7,22.59,1,240.09,7,-1.46,10,58.58,5,0.18,2,6.87,4,0,1,12,4
"11530","2010",서울특별시 구로구,21.3,6,38.32,5,-10.11,10,53.87,5,40.1,6,0.5,6,,0,1613,7,114,6,6.82,1,14.35,6,28.11,1,-30.36,1,-1.73,10,85.92,6,0.53,1,13.9,5,0.05,1,26,5
"11560","2010",서울특별시 영등포구,26.64,7,37.85,5,-14.37,10,53.07,5,66.5,7,1.01,7,,0,6341,7,800.73,7,1.87,1,15.5,6,32.15,2,202.69,7,-2.49,10,89.95,6,0.76,3,19.03,6,0.03,1,72,6
"29200","2010",광주광역시 광산구,15.28,6,36.26,5,11.98,9,51.87,5,19.3,5,0.4,5,6744895,6,606,5,89.77,6,11.36,2,4.14,2,26.63,1,24.7,1,4.23,8,82.9,6,0.84,4,12.63,5,0.03,1,40,6
"31110","2010",울산광역시 중구,12.32,5,48.6,6,-14.2,10,52.23,5,19.3,5,0.16,2,1825791,3,95,1,0.63,1,14.84,4,8.88,5,24.59,1,27.8,1,-0.1,10,71.75,5,0.49,1,13.84,5,0.04,1,65,6
"41130","2000",경기도 성남시,16.02,7,41.26,6,-5.22,10,61.46,5,72.9,7,0.2,5,7244954,7,,,65.33,6,5.53,1,3.51,6,24.37,2,-46,10,-0.63,10,48.01,5,0.04,1,0.7,1,0.02,1,,
"41220","2010",경기도 평택시,11.74,5,34.26,5,-5.34,10,51.5,5,54.4,6,0.51,6,14240505,7,1163,6,11.5,1,2.77,1,1.63,1,49.83,4,7.96,1,0.17,8,97.37,6,0.72,3,15.37,5,0.05,1,65,6
"41270","2000",경기도 안산시,7.75,5,31.26,5,5.41,10,57.23,5,68.1,7,0.45,6,9866970,7,,,64.24,5,9.19,2,5.09,6,22.44,1,-43.6,10,1.88,8,56.26,5,0.02,1,7.69,4,0.04,1,,
"41270","2010",경기도 안산시,11.75,5,35.79,5,-7.51,10,45.87,5,57.6,7,0.43,6,14800917,7,2208,7,7.32,1,8.05,1,5.67,4,27.28,1,151,6,-0.35,10,86.73,6,1.07,4,16.15,5,0.04,1,97,7
