"시군구코드","연도","시군구명","노령화지수(인구총조사)","노령화지수(인구총조사)등급","인구순이동률","인구순이동률등급","인구변화율(인구총조사)","인구변화율(인구총조사)등급","평균교육년수","평균교육년수등급","독거노인가구비율","독거노인가구비율등급","기초생활수급자(천인당)","기초생활수급자(천인당)등급","소년소녀가장(천인당)","소년소녀가장(천인당)등급","노령화지수(주민등록인구통계)","노령화지수(주민등록인구통계)등급","인구변화율(주민등록인구통계)","인구변화율(주민등록인구통계)등급","고령인구수(인구총조사)","고령인구수(인구총조사)등급","고령인구수(주민등록인구통계)","고령인구수(주민등록인구통계)등급","노년부양비(인구총조사)","노년부양비(인구총조사)등급","노년부양비(주민등록인구통계)","노년부양비(주민등록인구통계)등급","세입자가구비율","세입자가구비율등급","경제활동인구(인구총조사)","경제활동인구(인구총조사)등급","경제활동인구(주민등록인구통계)","경제활동인구(주민등록인구통계)등급","종사자수(천명당)","종사자수(천명당)등급","사업체당종사자수","사업체당종사자수등급","제조업종사자비율","제조업종사자비율등급","고차산업종사자비율","고차산업종사자비율등급","재정자립도","재정자립도등급","지방세액(1인당)","지방세액(1인당)등급","지가변동률(주거)","지가변동률(주거)등급","지가변동률(상업)","지가변동률(상업)등급","의료보험료","의료보험료등급","도소매업종사자수(천명당)","도소매업종사자수(천명당)등급","총사업체수증감율","총사업체수증감율등급","총종사자수증감율","총종사자수증감율등급","도소매업체증감율","도소매업체증감율등급","제조업체증감율","제조업체증감율등급","주요산업별종사자수","주요산업별종사자수등급","총사업체수","총사업체수등급","노후주택비율","노후주택비율등급","신규주택비율","신규주택비율등급","공가율","공가율등급","부동산공시지가","부동산공시지가등급","노후건축물비율","노후건축물비율등급","소형주택비율","소형주택비율등급","주거면적(1인당)","주거면적(1인당)등급","주택보급율","주택보급율등급","접도율","접도율등급"
"27710","2020",대구광역시 달성군,77.76,1,0.64,8,0.98,8,12.32,6,5.89,4,36.89,5,,,78.58,1,1.09,9,32708,5,33089,5,17.56,4,17.97,4,32.91,6,186240,6,184143,6,,,,,,,,,37.19,6,1391.11,5,0.42,6,0.13,4,273211682.25,5,,,,,,,,,,,,,,,61.38,5,35.17,7,8.98,5,8.35,6,51.32,5,86.56,6,29.1,5,134.67,5,17.73,5
"28140","2020",인천광역시 동구,221.41,5,-2.56,10,-2.73,10,11.36,5,11.88,6,55.48,6,,,232.85,5,-2.93,10,13756,2,14453,2,33.29,5,34.51,6,25.25,5,41316,1,41882,1,,,,,,,,,19.94,5,965.49,4,0.3,6,0.15,4,58621765.33,1,,,,,,,,,,,,,,,86.22,6,1.32,1,8.62,5,4.73,6,77.9,6,89.85,6,25.1,5,140.5,5,35.44,6
"28200","2020",인천광역시 남동구,106.97,3,-1.46,10,-0.79,10,12.36,6,6.61,4,53.03,6,,,107.34,3,-1.38,10,71528,6,71468,6,18.32,4,18.45,4,38.6,6,390532,7,387308,7,,,,,,,,,28.53,6,1322.11,5,0.36,6,0.41,6,598495267.63,7,,,,,,,,,,,,,,,63.78,5,9.69,5,6.35,4,5.19,6,60.75,6,85.46,6,26.6,5,130.63,5,48.48,7
"28237","2020",인천광역시 부평구,133.95,4,-3.35,10,-2.64,10,12.31,6,7.1,4,57.09,6,,,138.03,4,-3.25,10,72809,7,73424,6,19.49,4,19.93,4,35.25,6,373646,7,368345,7,,,,,,,,,22.82,5,1005.85,4,0.32,6,0.52,7,535432906.36,6,,,,,,,,,,,,,,,77.99,6,3.23,1,5.43,3,6.63,6,73.32,6,87.1,6,26,5,123.98,5,42.19,7
"29155","2020",광주광역시 남구,135.6,4,-1.44,10,-1.43,10,12.82,6,8.4,5,56.4,6,,,132.32,4,-1.6,10,37890,6,37715,6,25.42,5,25.42,5,32.57,6,149028,5,148362,5,,,,,,,,,12.46,3,894.33,4,0.37,6,0.22,5,248501324.47,5,,,,,,,,,,,,,,,80.7,6,11.01,5,8.79,5,8.69,6,74.09,6,76.86,6,31.2,5,134.43,5,29.97,6
"30170","2020",대전광역시 서구,98.23,3,-0.8,10,-0.48,10,13.16,6,5.55,3,36.37,5,,,98.8,3,-0.69,10,60373,6,61027,6,16.92,4,17.19,3,45.38,6,356794,7,355082,7,,,,,,,,,20.49,5,901.75,4,0.42,6,0.39,6,569494829.04,7,,,,,,,,,,,,,,,70.21,6,7.71,4,4.34,2,5.2,6,66.8,6,75.88,6,29.9,5,120.39,5,30.61,6
"31110","2020",울산광역시 중구,122.83,4,-2.68,10,-2.41,10,12.27,6,7.84,5,35.45,5,,,125.51,4,-2.68,10,32351,5,33231,5,20.81,4,21.05,4,34,6,155458,5,157888,5,,,,,,,,,20.1,5,749.72,3,0.24,5,0.35,6,283393140.55,6,,,,,,,,,,,,,,,75.58,6,5.09,3,6.41,4,2.61,4,72.13,6,69.72,5,32.2,6,115.62,5,38.72,6
"31200","2020",울산광역시 북구,46.03,1,0.03,10,1.65,8,12.61,6,3.8,2,20.31,3,,,47.48,1,0.56,9,17434,3,18025,3,10.78,1,11.06,1,28.53,5,161738,5,163025,6,,,,,,,,,29.7,6,1186.04,5,0.13,3,0.14,4,319002173.42,6,,,,,,,,,,,,,,,54.66,5,25.27,7,7.18,4,4.57,6,48.84,5,84.54,6,30,5,124.7,5,29.37,6
"41130","2020",경기도 성남시,120.07,4,-0.38,10,0.23,9,13.44,6,6.21,4,30.79,5,,,119.72,3,-0.28,10,129917,7,133221,7,19,4,19.15,4,54.42,6,683906,7,695566,7,,,,,,,,,63.87,7,2327.08,6,0.33,6,0.42,6,1588452179.57,7,,,,,,,,,,,,,,,75.14,6,9.26,5,2.04,1,5.12,6,72.9,6,66.01,5,28.9,5,106.22,5,21.42,6
"41150","2020",경기도 의정부시,128.52,4,2.15,8,2.09,8,12.28,6,7.16,4,44.21,5,,,128.99,4,2.18,8,68984,6,70369,6,21.1,4,20.89,4,42.22,6,326914,7,336787,7,,,,,,,,,27.19,6,1045.08,5,0.3,6,0.52,7,448876549.88,6,,,,,,,,,,,,,,,73.78,6,20.67,6,5.25,3,4.49,5,68.26,6,87.14,6,26.7,5,126.35,5,31.53,6
"41170","2020",경기도 안양시,117.67,4,-3.27,10,-2.69,10,13.18,6,5.85,4,22.02,3,,,118.16,3,-3,10,74431,7,75581,7,18.39,4,18.41,4,40.2,6,404652,7,410483,7,,,,,,,,,45.84,6,1486.83,5,0.39,6,0.27,6,767184851.58,7,,,,,,,,,,,,,,,73.05,6,9.24,5,5.9,3,5.01,6,72.17,6,83.86,6,26.1,5,118.11,5,39.01,6
"41250","2020",경기도 동두천시,185.67,5,-0.04,10,-1.35,10,11.4,5,11.06,5,69.82,6,,,183.75,5,-0.44,10,19636,4,19397,4,30.2,5,30.12,5,35.58,6,65027,2,64400,2,,,,,,,,,22.07,5,897.46,4,0.19,4,0.08,1,75641555.97,1,,,,,,,,,,,,,,,69.15,6,6.43,4,11.23,5,3.16,5,62.76,6,84.21,6,29.1,5,151.31,6,20.64,5
"41270","2020",경기도 안산시,96.25,3,0.47,9,0.38,9,12.35,6,4.82,3,39.91,5,,,97.48,3,0.61,9,75138,7,71620,6,13.32,2,14.05,3,45.55,6,564143,7,509827,7,,,,,,,,,50.69,7,1563.55,6,0.32,6,0.26,6,805756400.66,7,,,,,,,,,,,,,,,43.97,4,16.01,6,8.48,5,5.83,6,41.89,5,83.45,6,28,5,127.45,5,31.73,6
"41830","2020",경기도 양평군,249.5,6,2.05,8,1.8,8,12,6,11.79,6,33.98,5,,,250.09,6,1.66,8,29102,5,30536,5,39.82,6,40.15,6,20.93,5,73078,3,76064,3,,,,,,,,,19.99,5,1731.15,6,0.26,5,0.3,6,115715232.07,3,,,,,,,,,,,,,,,34.86,4,24.18,7,12.85,6,4.68,6,33.79,4,44.87,4,41,6,148.49,5,9.78,3
"42230","2020",강원도 삼척시,260.25,6,-2.63,10,-1.89,10,11.09,5,13.05,6,56.19,6,,,267.51,6,-2.95,10,15758,3,16572,3,35.71,6,39.01,6,31.61,6,44126,1,42476,1,,,,,,,,,13.46,4,1159.39,5,0.15,4,0.15,4,59724271.28,1,,,,,,,,,,,,,,,60.06,5,8.73,5,20.74,6,3.32,5,56.25,5,80.04,6,31.8,6,175.35,6,24.27,6
"42790","2020",강원도 화천군,200.49,5,-0.05,10,1.31,8,11.52,5,12.3,6,42.4,5,,,213.03,5,-0.24,10,5269,1,5609,1,33.27,5,33.76,5,19.02,4,15836,1,16615,1,,,,,,,,,12.16,3,980.72,4,0.06,1,0.06,1,14549926.35,1,,,,,,,,,,,,,,,51.94,5,6.56,4,10.95,5,4.72,6,47.07,5,68.64,5,33,6,160.92,6,15.02,5
"43110","2020",충청북도 청주시,96.05,3,0.53,8,0.52,8,12.51,6,6.42,4,34.79,5,,,97.17,3,0.65,9,111879,7,113322,7,17.84,4,18.42,4,37.61,6,626973,7,615046,7,,,,,,,,,32.61,6,1314.49,5,0.28,5,0.22,5,1047108301.11,7,,,,,,,,,,,,,,,65.8,5,14.19,6,10.32,5,2.67,4,55.43,5,76,6,31.6,5,134.73,5,22.32,6
"44230","2020",충청남도 논산시,255.85,6,-1.19,10,-1.97,10,10.73,5,13.44,6,59.69,6,,,260.69,6,-1.82,10,30500,5,31095,5,39.46,6,42.22,6,26.41,5,77286,3,73652,3,,,,,,,,,12.59,4,1047.46,5,0.2,5,0.21,5,88589446.59,1,,,,,,,,,,,,,,,76.58,6,5.76,3,13.51,6,2.86,4,64.69,6,73.26,5,32.8,6,155.39,6,18.92,5
"45710","2020",전라북도 완주군,185.09,5,-0.27,10,-0.39,10,11.31,5,10.06,5,54.9,6,,,191.38,5,-0.66,10,20643,4,21410,4,32.24,5,36.28,6,28.56,5,64038,2,59012,2,,,,,,,,,22.75,5,1628.27,6,0.21,5,0.33,6,79966035.61,1,,,,,,,,,,,,,,,63.17,5,7.2,4,18.2,6,5.44,6,51.84,5,71.93,5,31.9,6,159.04,6,11.42,4
"46710","2020",전라남도 담양군,388.88,6,0.11,10,0.91,8,10.46,5,16.33,6,46.89,6,,,390.27,6,-0.55,10,13432,2,14436,2,49.17,6,51.29,6,10.33,2,27315,1,28145,1,,,,,,,,,13.39,4,1722.44,6,0.44,6,0.15,4,35495884.28,1,,,,,,,,,,,,,,,61.53,5,10.48,5,16.26,6,6.37,6,53.06,5,61.62,5,35,6,153.68,6,11.56,4
"46810","2020",전라남도 강진군,378.71,6,-1.06,10,-0.08,10,10,5,21.98,6,62.03,6,,,405.63,6,-1.95,10,11278,1,12035,1,60.89,6,61.42,6,7.84,1,18522,1,19595,1,,,,,,,,,7.8,1,1111.1,5,0.22,5,0.32,6,23369131.44,1,,,,,,,,,,,,,,,81.06,6,5.56,3,23.12,6,3.27,5,65.65,6,73.82,5,35,6,189.63,6,18.19,5
"36110","2005",세종특별자치시 세종시,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5.85,6,48.84,7,3.32,4,,,,,,,,,,,,0,-0.48,10,0.48,1,-4.42,10,2.5,5,16120,5,5639,3,39.46,6,17.85,5,,,,,,,65.55,6,,,,,,
"47170","2020",경상북도 안동시,226.4,5,-0.21,10,-0.58,10,11.31,5,12.91,6,56.32,6,,,228.86,5,-0.72,10,38485,6,39193,6,37.03,6,38.2,6,25.64,5,103928,4,102589,4,,,,,,,,,12.74,4,1027.46,5,0.04,1,0.05,1,139937060.46,4,,,,,,,,,,,,,,,80.16,6,6.88,4,17.39,6,3.26,5,67.8,6,79.09,6,32.4,6,161.89,6,11.6,4
"47290","2020",경상북도 경산시,141.48,4,0.32,9,-2.19,10,12.17,6,7.26,4,40.14,5,,,141.79,4,0.21,10,44437,6,44579,6,21.38,4,23.75,5,35.85,6,207888,6,187709,6,,,,,,,,,29.39,6,1376.19,5,0.35,6,0.17,4,241474980.13,5,,,,,,,,,,,,,,,62.2,5,12.57,6,10.06,5,6.49,6,53.22,5,79.26,6,32.2,6,133.86,5,15.74,5
"47850","2020",경상북도 칠곡군,116.98,4,-1.74,10,-2.33,10,11.67,5,7.53,4,40.22,5,,,120.4,4,-1.96,10,17824,3,18335,3,21.55,4,22.58,4,29.87,5,82695,4,81195,4,,,,,,,,,26.23,6,1533.26,6,0.06,1,0.06,1,111585131.01,3,,,,,,,,,,,,,,,60.31,5,10.6,5,16.76,6,5.02,6,47.06,5,78.37,6,33.5,6,143.68,5,16.45,5
"48270","2020",경상남도 밀양시,307.72,6,0.08,10,-0.17,10,11.02,5,16.62,6,54.15,6,,,319.41,6,-0.68,10,28206,5,29887,5,42.83,6,45.57,6,18.44,4,65856,3,65587,3,,,,,,,,,17.13,5,1574.91,6,-0.01,1,-0.05,1,85405870.94,1,,,,,,,,,,,,,,,67.29,5,11.1,5,17.67,6,3.92,5,59.24,5,72.67,5,35.3,6,173.4,6,16.37,5
"48720","2020",경상남도 의령군,536.57,7,-0.14,10,-0.29,10,9.72,5,23.63,7,50.82,6,,,567.56,7,-1.35,10,9390,1,9921,1,63.34,6,65.57,6,12.64,3,14825,1,15131,1,,,,,,,,,15.91,4,1233.14,5,0.2,5,0.14,4,18774854.21,1,,,,,,,,,,,,,,,50.26,5,6.53,4,21.28,6,0.96,1,45.05,5,74.94,6,33.8,6,195.39,6,10.9,4
"48730","2020",경상남도 함안군,219.66,5,-1.66,10,-2,10,11.1,5,15,6,43.89,5,,,226.02,5,-2.31,10,15484,3,16086,3,36.22,6,39.25,6,18.06,4,42746,1,40979,1,,,,,,,,,26.79,6,1940.3,6,-0.1,1,-0.06,1,60197454.57,1,,,,,,,,,,,,,,,41.14,4,3.12,1,13.97,6,3.36,5,33.52,4,77.17,6,31.8,6,163.13,6,12.3,4
"48740","2020",경상남도 창녕군,354.5,6,-0.76,10,-1.71,10,10.42,5,18,6,50.15,6,,,373.87,6,-1.65,10,18271,4,19105,4,48.24,6,51.52,6,15.54,4,37877,1,37086,1,,,,,,,,,19.68,5,1208.52,5,0.32,6,0.18,5,49045124.84,1,,,,,,,,,,,,,,,76.98,6,7.78,5,16.91,6,3.88,5,64.67,6,73.49,5,34.2,6,170.9,6,12.63,4
"48820","2020",경상남도 고성군,345.03,6,-0.82,10,-1.71,10,10.33,5,18.43,6,53.37,6,,,359.58,6,-1.75,10,15309,3,16095,3,50.57,6,52.27,6,14.38,3,30270,1,30790,1,,,,,,,,,16.55,4,1711.06,6,0.12,3,0,1,36781368.69,1,,,,,,,,,,,,,,,75.31,6,6.99,4,20.56,6,1.75,2,68.16,6,69.7,5,35.5,6,175.66,6,17.98,5
"46770","2001",전라남도 고흥군,,,-4.75,10,,,,,,,67.68,6,,,153.98,7,-5.07,10,,,19605,6,,,30.86,7,,,,,63527,3,156.46,4,2.92,5,14.95,4,9.25,6,10.4,1,168.81,2,0.36,6,0.63,7,,,34.16,5,-5.01,10,-2.08,10,-4.94,10,-8.56,10,3275,1,5142,3,,,,,,,,,,,,,,,,,,
"31140","2014",울산광역시 남구,,,-0.94,10,,,,,,,11.8,2,,,53.96,2,-0.37,1,,,26415,5,,,9.7,2,,,,,272387,6,481.03,6,6.02,6,17.1,5,8.02,6,34.5,6,1057.44,5,0.34,6,0.04,2,50643204.29,6,65.86,6,1.42,1,1.29,1,0.59,1,-2.4,1,28604,6,27778,6,,,,,,,,,55,5,,,,,,,,
"31170","2014",울산광역시 동구,,,-1.99,10,,,,,,,10.78,2,,,44.81,1,-1.01,10,,,12496,3,,,9.17,2,,,,,136284,5,513.61,6,10.89,7,63.52,7,1.89,2,25.4,6,827.25,5,0.03,1,0.07,4,16414091.62,4,25.6,3,-2.29,1,2.51,4,-10.72,10,-0.67,1,57636,7,8332,4,,,,,,,,,54,5,,,,,,,,
"41110","2014",경기도 수원시,,,1.55,7,,,,,,,11.07,2,,,50.79,1,2.27,7,,,94472,7,,,10.57,2,,,,,893747,7,322.15,5,6.25,6,10.04,4,6.3,6,50.8,7,1060.53,5,0.16,5,-0.25,10,157469636.09,7,44.5,5,2.67,4,3.23,5,4.46,5,7.35,4,52257,7,60479,7,,,,,,,,,59,6,,,,,,,,
"41130","2014",경기도 성남시,,,-1.04,10,,,,,,,15.32,3,,,75.5,3,-0.5,10,,,101943,7,,,13.82,4,,,,,737644,7,398.75,6,6.99,6,10.4,4,6.6,6,57.8,7,1383.05,6,0.15,5,0.01,1,155761641.53,7,59.46,6,5.02,6,4.91,6,6.1,6,7.11,4,57953,7,55571,7,,,,,,,,,65,6,,,,,,,,
"41210","2014",경기도 광명시,,,-1.93,10,,,,,,,13.04,3,,,61.98,2,-1.29,10,,,33980,6,,,13.08,3,,,,,259755,6,234.02,4,4.92,5,18.59,5,5.62,6,37.8,6,1163.47,6,0.16,5,0.34,7,50026669.37,6,47.47,5,3.66,5,4.69,6,6.28,6,4.04,2,16546,5,16585,6,,,,,,,,,67,6,,,,,,,,
"41220","2014",경기도 평택시,,,1.14,7,,,,,,,16.75,4,,,67.89,3,1.7,7,,,49568,6,,,15.16,4,,,,,326972,6,420.92,6,6.45,6,41.14,7,3.7,5,40.1,6,1331,6,-0.08,1,0.03,1,64965369.94,6,48.35,5,5.65,6,3.47,5,4.18,5,16.71,6,77848,7,29319,6,,,,,,,,,33,4,,,,,,,,
"41290","2014",경기도 과천시,,,-1.05,10,,,,,,,10.32,1,,,76.43,3,-0.6,10,,,7727,1,,,14.77,4,,,,,52319,1,439.06,6,8.94,6,1.14,1,3.93,5,44.9,7,6884.21,7,0.11,4,0,1,11426513.44,2,68.89,6,0.23,1,0.29,1,-3.03,1,2.5,1,4833,1,3446,1,,,,,,,,,51,5,,,,,,,,
"41310","2014",경기도 구리시,,,-1.94,10,,,,,,,18.11,4,,,68.01,3,-1.51,10,,,18528,4,,,13.14,3,,,,,141049,5,289.96,5,4.57,5,7.23,2,8.98,6,39.3,6,774.47,5,0.06,1,-0.21,10,32956816.82,6,68.92,6,4.34,5,3.09,5,8.87,6,25.43,7,12875,4,11846,5,,,,,,,,,61,6,,,,,,,,
"41800","2014",경기도 연천군,,,-0.63,10,,,,,,,37.72,6,,,182.32,6,-0.54,10,,,9887,2,,,32.9,6,,,,,30053,1,281.33,5,3.7,5,19.05,5,3.98,5,19.2,5,1489.88,6,0.04,1,-0.2,10,5939581,1,39.59,5,0.67,1,0.65,1,4.18,5,27.22,7,2431,1,3445,1,,,,,,,,,50,5,,,,,,,,
"42170","2014",강원도 동해시,,,-0.74,10,,,,,,,31.94,6,,,106.81,5,-0.61,10,,,14456,4,,,21.71,5,,,,,66572,3,325.6,5,4.04,5,10.66,4,4.87,6,19.5,5,705.5,4,0.15,5,0.2,6,11031041.12,2,57.09,5,0.22,1,1.72,3,2.76,3,11.61,6,5399,1,7630,4,,,,,,,,,56,6,,,,,,,,
"42190","2014",강원도 태백시,,,-1.15,10,,,,,,,32.39,6,,,140.17,5,-1.1,10,,,8716,1,,,26.16,5,,,,,33324,1,347.24,5,4.22,5,5.94,1,4.83,6,23,6,682.16,4,0.23,6,-0.15,10,5263054.41,1,52.28,5,0.84,1,-0.39,1,-1.72,1,-12.5,10,2523,1,3975,1,,,,,,,,,64,6,,,,,,,,
"43760","2014",충청북도 괴산군,,,1.5,7,,,,,,,43.39,6,,,368.19,7,0.77,6,,,11171,2,,,46.26,6,,,,,24146,1,304.56,5,4.43,5,27.19,6,2.83,4,7.5,2,728.94,5,0.68,7,0,1,4269147.04,1,34.42,4,2.21,3,2.52,4,2.83,4,2.17,1,3176,1,2638,1,,,,,,,,,49,5,,,,,,,,
"45110","2014",전라북도 전주시,,,0.05,1,,,,,,,33.19,6,,,73.4,3,0.43,6,,,75226,7,,,15.83,4,,,,,475161,7,322.63,5,4.63,5,6.46,1,8.02,6,28.9,6,781.68,5,0.1,3,0.07,4,82535801.02,7,58.46,6,3.24,5,3.6,5,2.99,4,8.02,5,38168,6,45454,7,,,,,,,,,59,6,,,,,,,,
"45180","2014",전라북도 정읍시,,,-0.64,10,,,,,,,61.43,6,,,189.22,6,-0.97,10,,,27327,5,,,36.24,6,,,,,75414,3,286.3,5,4.09,5,22.1,6,4.5,5,8.3,2,608.06,4,0.13,4,0.11,5,14053234.67,3,44.19,5,4.83,6,4.36,6,4.8,5,13.62,6,7413,1,8207,4,,,,,,,,,48,5,,,,,,,,
"45730","2014",전라북도 무주군,,,0.42,7,,,,,,,41.08,6,,,262.21,6,-0.03,1,,,7245,1,,,47.1,6,,,,,15382,1,289.52,5,3.25,4,6.57,2,4.58,5,7.7,2,650.71,4,-0.1,1,0,1,2550435.3,1,40.17,5,9.64,7,-1.04,1,19.69,7,18.67,6,1497,1,2264,1,,,,,,,,,53,5,,,,,,,,
"45740","2014",전라북도 장수군,,,1.03,7,,,,,,,53.05,6,,,262.95,6,0.4,6,,,6700,1,,,47.56,6,,,,,14087,1,251,4,3.93,5,16.54,5,3.52,5,5.1,1,476.96,3,0.05,1,-0.09,1,1997180.53,1,35.95,4,8.77,6,6.47,6,12.26,7,42.03,7,969,1,1489,1,,,,,,,,,57,6,,,,,,,,
"45750","2014",전라북도 임실군,,,1.35,7,,,,,,,53.79,6,,,326.46,7,0.76,6,,,9353,1,,,52.7,6,,,,,17748,1,277.01,5,3.97,5,19.09,5,4.99,6,5.5,1,601.4,4,0.14,4,0.1,5,2544499.57,1,34.84,4,6.47,6,5.89,6,8.5,6,15.56,6,1585,1,2090,1,,,,,,,,,46,5,,,,,,,,
"46170","2014",전라남도 나주시,,,3.47,7,,,,,,,44.94,6,,,223.33,6,3.32,7,,,22355,5,,,38.34,6,,,,,58304,2,389.37,6,5.72,6,16.28,5,2.96,4,13.6,4,1345.26,6,2.89,7,3.13,7,9955761.98,1,48.66,5,6.56,6,21.83,7,6.89,6,7.29,4,5747,1,6176,3,,,,,,,,,63,6,,,,,,,,
"46230","2014",전라남도 광양시,,,-0.35,10,,,,,,,17.2,4,,,61.82,2,0.31,5,,,15657,4,,,14.09,4,,,,,111113,5,445.69,6,6.45,6,25.23,6,3.6,5,30.7,6,1224.83,6,-0.21,10,-0.15,10,16619256.81,4,47.02,5,3.5,5,3.26,5,3.97,5,9.66,5,17106,5,10508,5,,,,,,,,,51,5,,,,,,,,
"46710","2014",전라남도 담양군,,,-0.18,10,,,,,,,37.94,6,,,296.72,6,-0.4,10,,,12946,3,,,43.34,6,,,,,29868,1,370.07,5,5.22,6,23.34,6,1.75,2,9.7,3,790.11,5,0.48,7,0,1,4803200.1,1,43.28,5,6.77,6,10.33,7,13.92,7,6.28,4,4075,1,3345,1,,,,,,,,,46,5,,,,,,,,
"46840","2014",전라남도 무안군,,,2.99,7,,,,,,,28.59,5,,,121.54,5,2.93,7,,,15592,4,,,29.27,6,,,,,53275,1,278.1,5,4.9,5,10.55,4,6.35,6,10.5,3,791.4,5,0.27,6,0.01,1,8125892.43,1,34.91,4,10.13,7,10.01,7,9.87,6,9.81,5,4198,1,4641,1,,,,,,,,,60,6,,,,,,,,
"46860","2014",전라남도 함평군,,,-1,10,,,,,,,49.24,6,,,344.15,7,-1.46,10,,,11233,2,,,54.55,7,,,,,20593,1,285.64,5,4.06,5,19.41,5,2.1,3,6,1,588.21,4,0.06,1,0.05,3,3316287.57,1,46.65,5,8.92,6,9.95,7,15.58,7,23.53,7,1945,1,2466,1,,,,,,,,,40,5,,,,,,,,
"47250","2014",경상북도 상주시,,,0.13,5,,,,,,,33.59,6,,,253.41,6,-0.44,10,,,27105,5,,,41.64,6,,,,,65091,2,271.11,5,3.99,5,15.83,5,5.25,6,8.1,2,600.38,4,0.31,6,-0.08,1,12180697.59,2,39.98,5,2.26,3,3.39,5,1.15,1,9.86,5,4417,1,6999,3,,,,,,,,,59,6,,,,,,,,
"47750","2014",경상북도 청송군,,,0.67,7,,,,,,,51.03,6,,,414.39,7,-0.06,1,,,8325,1,,,51.65,6,,,,,16119,1,313.42,5,3.92,5,4.66,1,3.18,5,4.9,1,505.12,3,0.21,5,0.22,6,2642756.41,1,42.79,5,1,1,-6.17,10,-1.66,1,-3.49,1,1880,1,2116,1,,,,,,,,,54,5,,,,,,,,
"47820","2014",경상북도 청도군,,,1.4,7,,,,,,,39.32,6,,,428.82,7,0.47,6,,,13615,3,,,50.05,6,,,,,27203,1,283.86,5,3.55,5,20.09,6,3.32,5,6.5,1,852.72,5,0.36,6,0.48,7,4722845.77,1,43.94,5,6.57,6,7.36,6,17.08,7,26.37,7,2509,1,3520,1,,,,,,,,,59,6,,,,,,,,
"28185","2006",인천광역시 연수구,,,1.52,8,,,,,,,30.54,5,,,28.82,1,2.01,8,,,16069,5,,,8.07,2,,,,,199190,6,153.53,4,4.52,5,5.58,1,6.84,6,32.9,6,651.82,5,0.56,7,0.6,7,27959208.48,6,24.14,3,5.5,7,7.6,7,5.19,7,-1.6,10,7686,3,9213,5,,,,,,,,,,,,,,,,,,
"31140","2006",울산광역시 남구,,,-1.02,10,,,,,,,14.37,1,,,22.66,1,-0.4,10,,,16045,5,,,6.2,1,,,,,258925,6,393.68,6,5.66,6,17.23,5,7.24,6,43.1,6,321.63,3,0.62,7,0.66,7,31256002.41,6,59.16,6,0.96,6,4.93,7,-0.92,10,-2.7,10,23457,6,24043,6,,,,,,,,,,,,,,,,,,
"11290","2001",서울특별시 성북구,,,-2.8,10,,,,,,,12.57,1,,,40.4,4,-2.23,10,,,30674,7,,,8.92,4,,,,,344001,7,173.31,4,3.67,5,16.43,5,4.43,5,43.7,6,359.61,5,0.78,7,0.81,7,,,32.68,4,0.42,10,1.23,7,-2.35,10,1.27,1,14727,5,21275,6,,,,,,,,,,,,,,,,,,
"11500","2001",서울특별시 강서구,,,-0.64,10,,,,,,,34.64,5,,,27.89,3,0.05,5,,,27910,6,,,7.09,3,,,,,393498,7,232.61,5,5.51,6,13.7,4,5.64,5,44,6,477.48,5,0.18,5,0.12,6,,,41.92,5,2.37,8,11.82,7,-2.71,10,14.6,7,24543,6,22008,6,,,,,,,,,,,,,,,,,,
"11620","2001",서울특별시 관악구,,,-0.28,10,,,,,,,17.1,2,,,30.47,3,0.64,7,,,26697,6,,,6.46,3,,,,,413463,7,177.88,4,4.09,5,13.72,4,5.88,6,31.4,5,354.42,5,1.05,7,0.58,7,,,32.07,4,-1.31,10,0.67,7,-4.32,10,-1.24,1,16926,5,22960,6,,,,,,,,,,,,,,,,,,
"11710","2001",서울특별시 송파구,,,-1.86,10,,,,,,,8.04,1,,,25.34,3,-1.16,10,,,31777,7,,,6.38,3,,,,,498310,7,278.18,6,5.34,6,11.16,3,7.54,6,68.4,7,848.89,6,0.96,7,0.46,7,,,68.36,6,-1.91,10,3.77,7,-8,10,32.88,7,44812,7,34135,7,,,,,,,,,,,,,,,,,,
"26350","2001",부산광역시 해운대구,,,-0.84,10,,,,,,,25.15,4,,,27.68,3,-0.31,10,,,23783,6,,,7.98,4,,,,,297859,7,163.57,4,4.2,5,16.29,5,7.07,6,48,6,392.18,5,0.06,1,0.08,5,,,33.51,5,3.71,8,5.99,7,2.75,10,3.94,5,13658,5,15890,6,,,,,,,,,,,,,,,,,,
"26500","2001",부산광역시 수영구,,,-2.33,10,,,,,,,13.77,1,,,45.06,5,-1.99,10,,,12890,5,,,9.23,4,,,,,139581,5,206.55,5,3.25,5,8.17,2,6.75,6,49.7,6,359.36,5,0.56,7,0.91,7,,,44.48,5,-1.92,10,2.12,7,-6.18,10,13.07,7,8055,3,11502,5,,,,,,,,,,,,,,,,,,
"28140","2001",인천광역시 동구,,,-0.48,10,,,,,,,43.05,5,,,58.11,5,-0.35,10,,,6901,3,,,12.1,5,,,,,57011,2,363.25,6,3.6,5,31.51,6,2.52,3,22.1,5,369.82,5,1.07,7,0.82,7,,,88.89,6,-2.43,10,-14.87,10,-3.2,10,7.17,6,8675,3,7653,4,,,,,,,,,,,,,,,,,,
